content,image_url,A,B,C,D,correct_answer,difficulty,knowledge_point_ids,source_tag
静态链表中游标（指针域）通常表示的是,,"下一元素在数组中的下标","内存绝对地址","结点层次","平衡因子",A,0.44,1,教师补充-batch2
在单循环链表中判断空表的条件（带头结点）一般为,,"头结点的next指向头自身","头指针为NULL","无结点","仅一个结点时为空",A,0.42,1,教师补充-batch2
两个递增有序单链表归并为一个递增有序链表时关键字比较次数的下界为,,"两表长度之和减1的量级","两表长度之积","较短表长","与表长无关",A,0.50,2,教师补充-batch2
中缀表达式求值时操作数栈与运算符栈的配合主要用于,,"处理优先级与括号","消除递归","分配内存","检测死锁",A,0.48,2,教师补充-batch2
BM算法中好后缀规则主要用于,,"在失配时根据已匹配后缀决定模式串右移距离","计算哈希值","建立Trie","判断二分图",A,0.56,3,教师补充-batch2
串的块链存储相比单字节链表存储通常,,"存储密度更高","插入更快","删除必为O(1)","不支持顺序访问",A,0.43,3,教师补充-batch2
一棵高度为h的满二叉树（国际惯用根为第1层）的叶子结点个数为,,"2^{h-1}","2^h","h","2h",A,0.52,4,教师补充-batch2
线索二叉树中线索的主要作用是,,"在不增加过多指针的情况下找指定遍历次序下的前驱或后继","加速层序遍历","保证平衡","压缩关键字",A,0.49,4,教师补充-batch2
Floyd算法求所有顶点对最短路径的时间复杂度量级为,,"O(n^3)","O(n^2)","O(n^2 log n)","O(nm)",A,0.55,5,教师补充-batch2
基数排序的时间复杂度与关键字位数d及基数r的关系常表示为,,"O(d(n+r))","O(n log n)","O(n^2)","O(dr)",A,0.51,6,教师补充-batch2
